repo,repo_topics,date_first_commit,creation,archive_url_creation,topic_present_creation,release,archive_url_release,topic_present_release
tiangolo/fastapi,"python,json,swagger-ui,redoc,starlette,openapi,api,openapi3,framework,async,asyncio,uvicorn,python3,python-types,pydantic,json-schema,fastapi,swagger,rest,web",2018-12-05T06:56:50Z,1544257307000,http://web.archive.org/web/20190204230405/https://github.com/tiangolo/fastapi,true,1544896765000,http://web.archive.org/web/20190204230405/https://github.com/tiangolo/fastapi,true
tiangolo/full-stack-fastapi-template,"python,json,json-schema,docker,postgresql,frontend,backend,fastapi,traefik,letsencrypt,swagger,jwt,openapi,chakra-ui,react,tanstack-query,tanstack-router,typescript,sqlmodel",2019-02-09T15:42:36Z,1550934514000,http://web.archive.org/web/20240312213829/https://github.com/tiangolo/full-stack-fastapi-template,true,1552297741000,http://web.archive.org/web/20240312213829/https://github.com/tiangolo/full-stack-fastapi-template,true
pydantic/pydantic,"validation,parsing,json-schema,python37,python38,pydantic,python39,python,hints,python310,python311,python312",2017-05-03T21:23:41Z,1493846638000,http://web.archive.org/web/20220808202853/https://github.com/pydantic/pydantic,true,1494082138000,http://web.archive.org/web/20220808202853/https://github.com/pydantic/pydantic,true
rjsf-team/react-jsonschema-form,"react,json-schema,forms,ui,web,json,data-validation",2015-12-16T15:16:14Z,1450278845000,http://web.archive.org/web/20191003021746/https://github.com/rjsf-team/react-jsonschema-form,true,1450371513000,http://web.archive.org/web/20191003021746/https://github.com/rjsf-team/react-jsonschema-form,true
ajv-validator/ajv,"json-schema,validator,ajv",2015-05-19T23:23:32Z,1432077812000,http://web.archive.org/web/20200515085719/https://github.com/ajv-validator/ajv,true,1434196865000,http://web.archive.org/web/20200515085719/https://github.com/ajv-validator/ajv,true
tiangolo/sqlmodel,"python,sql,sqlalchemy,pydantic,fastapi,json,json-schema",2021-08-24T12:41:53Z,1629815213000,http://web.archive.org/web/20210824225156/https://github.com/tiangolo/sqlmodel,true,1629829555000,http://web.archive.org/web/20210824225156/https://github.com/tiangolo/sqlmodel,true
glideapps/quicktype,"json,typescript,json-schema,elm,java,swift,graphql,csharp,cplusplus,golang,objective-c,rust,kotlin",2017-07-13T00:22:10Z,1499905370000,http://web.archive.org/web/20231011105817/https://github.com/glideapps/quicktype,true
alibaba/formily,"react,json-schema,form,validator,observable,reactive,schema-form,fusion,ant-design,vue,vue3,designable,react-native,json-schema-form,low-code,no-code,react-form,vue-form,form-builder",2019-02-21T02:16:13Z,1546999905000,http://web.archive.org/web/20200514222830/https://github.com/alibaba/formily,true,1556265000000,http://web.archive.org/web/20200514222830/https://github.com/alibaba/formily,true
alibaba/x-render,"javascript,react,ant-design,json-schema,formrender,widget,webpack,ant,typescript,table,chart,list,form",2019-09-26T07:58:27Z,1569484706000,http://web.archive.org/web/20210606023404/https://github.com/alibaba/x-render,true,1571190033000,http://web.archive.org/web/20210606023404/https://github.com/alibaba/x-render,true
joelittlejohn/jsonschema2pojo,"java,json-schema,json,jackson,gson,maven-plugin,ant-task,gradle-plugin",2010-12-10T12:04:35Z,1371940133000,http://web.archive.org/web/20141222093656/https://github.com/joelittlejohn/jsonschema2pojo,false,1341268929000,http://web.archive.org/web/20141222093656/https://github.com/joelittlejohn/jsonschema2pojo,false
